City,Country,Population,Size,Average_HH_Size,Number_of_HH,Monthly_Income,Existing_Open_Space,Public_Space_Cost,Percentage_of_HH_in_Need_of_Adequate_Housing_Upgrades,Average_Market_Price_of_an_Adequate_Home,Average_Monthly_Rent_of_an_Adequate_Home,Total_Housing_Cost_from,Total_Governance_Cost
Yopal,Colombia,159296.12999999998,Medium,2.502264030612245,63660.79999999998,65.93583333333333,0.16813459999999997,170099045.46966803,0.1576,43485.75000000001,136.37500000000003,1141185797.3973312,44500000
Leticia,Colombia,43486.66,Small,3.6899491861166136,11785.165,65.93583333333333,0.5835432,15874124.57368481,0.4619,43485.75000000001,136.37500000000003,219106352.66087472,13000000
San Andres,Colombia,8155.525,Small,2.667113684852179,3057.809288865018,65.93583333333333,0,5538362.557540688,0.3721,43485.75000000001,136.37500000000003,40208343.74734189,13000000
San Jose del Guaviare,Colombia,48807.28999999999,Small,2.536315206498233,19243.385,65.93583333333333,0.65611,17816337.275936134,0.5846,43485.75000000001,136.37500000000003,490818504.5560352,13000000
Mocoa,Colombia,49148.329999999994,Small,2.606696813092162,18854.64,65.93583333333333,0.02152818,30388176.818538148,0.3207,43485.75000000001,136.37500000000003,271704501.8711114,13000000
Puerto Carreno,Colombia,20084.82,Small,2.8820273812991553,6968.99,65.93583333333333,0.003184,12558232.274091229,0.7334,43485.75000000001,136.37500000000003,157680034.34946302,13000000
Inirida,Colombia,30555.56,Small,3.407,8968.464925154094,65.93583333333333,0.0366358,18312955.537156083,0.7238,43485.75000000001,136.37500000000003,169492103.73358694,13000000
Mitu,Colombia,28124.635,Small,4.97915543575921,5648.4749999999995,65.93583333333333,0.11183210999999998,14909603.988994818,0.3829999999999999,43485.75000000001,136.37500000000003,153651737.79937848,13000000
Cartago,Colombia,120585.04499999998,Medium,2.636258737379341,45740.97499999999,40.760000000000005,0.1,130770745.64293855,0.0437,43485.75000000001,136.37500000000003,890770221.7140183,44500000
Ipiales,Colombia,107099.755,Medium,2.8808529227072923,37176.405,40.760000000000005,0,122685072.45848672,0.2849,43485.75000000001,136.37500000000003,731480974.1402998,44500000
Bello,Colombia,489129.515,Medium,2.7382605632202197,178627.81999999998,40.760000000000005,0.859968,496997391.7486158,0.07769999999999998,43485.75000000001,136.37500000000003,2441488406.162754,44500000
Buenaventura,Colombia,262321.675,Medium,2.7303604631507774,96075.84,27.28,0.391937,271640653.1394125,0.4324,43485.75000000001,136.37500000000003,1748447399.9898877,44500000
Sogamoso,Colombia,122268.93,Medium,2.4882673717260184,49138.17999999999,40.760000000000005,0,140061688.62357938,0.1155,43485.75000000001,136.37500000000003,738907965.7060177,44500000
El Banco,Colombia,37180.14030149999,Small,3.581585431816816,10380.916778143071,40.760000000000005,0.0173955,22960650.750217047,0.6146,43485.75000000001,136.37500000000003,246145211.4981091,13000000
Arjona,Colombia,68124.76999999999,Small,3.4614749871067563,19680.849999999995,40.760000000000005,0,42864798.70843442,0.7468,43485.75000000001,136.37500000000003,416898510.72057366,13000000
Sabanalarga,Colombia,3174.6795464999987,Small,3.91532599491956,810.8340277717341,40.760000000000005,0.0012144,1967279.504373094,0.7802,43485.75000000001,136.37500000000003,13195691.341788922,13000000
Chiquinquira,Colombia,53105.814999999995,Small,2.524,21040.338748019018,40.760000000000005,0.08814188,31218344.72491356,0.09949999999999998,43485.75000000001,136.37500000000003,317447452.7638979,13000000
Pamplona,Colombia,46203.814999999995,Small,2.723688146951475,16963.694999999996,40.760000000000005,0,29071910.694696553,0.0925,43485.75000000001,136.37500000000003,284183098.15113145,13000000
Guapi,Colombia,24397.554999999997,Small,3.411439114391144,7151.69,40.760000000000005,0,15351189.94240946,0.8545,43485.75000000001,136.37500000000003,149531720.9897097,13000000
